Date,Open,High,Low,Close
2022-02-20,40070.305,41636.883,38411.934,39917.277
2022-02-21,40070.305,41273.277,37759.3,39917.277
2022-02-22,40070.305,41273.277,37759.3,39917.277
2022-02-23,40070.305,41273.277,37759.3,39917.277
2022-02-24,40070.305,41273.277,37759.3,39917.277
2022-02-25,40070.305,41273.277,37759.3,39917.277
2022-02-26,40070.305,41273.277,37759.3,39917.277
2022-02-27,40070.305,41273.277,37759.3,39917.277
2022-02-28,40070.305,41273.277,37759.3,39917.277
2022-03-01,40070.305,41273.277,37759.3,39917.277
2022-03-02,40070.305,41273.277,37759.3,39917.277
2022-03-03,40070.305,41273.277,37759.3,39917.277
2022-03-04,40070.305,41273.277,37759.3,39917.277
2022-03-05,40070.305,41273.277,37759.3,39917.277
2022-03-06,40070.305,41273.277,37759.3,39917.277
2022-03-07,40070.305,41273.277,37759.3,39917.277
2022-03-08,40070.305,41273.277,37759.3,39917.277
2022-03-09,40070.305,41273.277,37759.3,39917.277
2022-03-10,40070.305,41273.277,37759.3,39917.277
2022-03-11,40070.305,41273.277,37759.3,39917.277
2022-03-12,40070.305,41273.277,37759.3,39917.277
2022-03-13,40070.305,41273.277,37759.3,39917.277
2022-03-14,40070.305,41273.277,37759.3,39917.277
2022-03-15,40070.305,41273.277,37759.3,39917.277
2022-03-16,40070.305,41273.277,37759.3,39917.277
2022-03-17,40070.305,41273.277,37759.3,39917.277
2022-03-18,40070.305,41273.277,37759.3,39917.277
2022-03-19,40070.305,41273.277,37759.3,39917.277
2022-03-20,40070.305,41273.277,37759.3,39917.277
2022-03-21,40070.305,41273.277,37759.3,39917.277
